Từ hoặc cụm từ tiếng Đức,Mức độ học
übersehen,1
vermieten,1
Trubel,1
jedoch,1
zugänglich,1
umleiten,1
umsteigen,1
fast windstill,1
Wartungsarbeiten,1
Wasserleitung,1
erreichbar,1
hinterlegen,1
Kellerabteil,1
Kellergang,1
Fluchtweg,1
zusammenfalten,1
Sperrmüllservice,1
Abholtermin,1
Stellenanzeige,1
Verstärkung,1
sich um eine Stelle bewerben,1
die Apotheke,1
Notdienst,1
Samstagabend,1
Sonntagmorgen,1
geöffnet,1
das Wetter,1
die Kaltfront,1
Temperaturabfall,1
Regen und Wind,1
bewölkt,1
sonnig,1
die Ansage,1
der Fahrplan,1
Zugreisende,1
die Verbindung,1
das Fahrradabteil,1
der Passagier,1
den Zug hinten betreten,1
die Mitte des Zuges,1
die erste Klasse,1
die Dokumentation,1
ausgestrahlt werden,1
zu einem späteren Zeitpunkt,1
in dieser Woche,1
gewinnen,1
das Erlebnisbad,1
die Tageskarte,1
der Eintritt,1
das Schwimmbad,1
der Essensgutschein,1
der Getränkegutschein,1
der Hauptgewinn,1
verlost werden,1
die Radiosendung,1
das Konzert,1
beginnen,1
das Handy,1
die Mutter,1
die Dokumente,1
bei sich haben,1
die Kaffeemaschine,1
kostenpflichtig,1
stehen,1
die Prüfung,1
Schwierigkeiten haben,1
der Drucker,1
sich etwas aussuchen,1
der Multifunktionsdrucker,1
im Preis enthalten,1
die Wohnung,1
den Wohnsitz ummelden,1
die Tagesmutter,1
das Freizeitangebot,1
die Jugendreise,1
der Reisepass,1
regelmäßig arbeiten,1
neben dem Studium,1
die Toilette ist verstopft,1
sofort Hilfe brauchen,1
ein Baby erwarten,1
günstige Kinderkleidung,1
gebraucht,1
das Kinderbett,1
dringend,1
die Provision,1
der Makler,1
auf Kinder aufpassen,1
gedacht für,1
bei Interesse,1
das kostenlose Konto,1
veranstalten,1
das Sommerfest,1
aufgenommen werden,1
die Anmeldung,1
der Nachweis,1
die Masernimpfung,1
