Từ hoặc cụm từ tiếng Đức,Nghĩa tiếng Việt
übersehen,bỏ sót
übersehen,không nhận ra
vermieten,cho thuê
Trubel,sự nhộn nhịp
Trubel,sự tất bật
jedoch,tuy nhiên
zugänglich,có thể tiếp cận
zugänglich,có thể vào được
umleiten,chuyển hướng
umleiten,đổi tuyến
umsteigen,đổi chuyến
umsteigen,chuyển tuyến
fast windstill,gần như lặng gió
Wartungsarbeiten,công việc bảo trì
Wasserleitung,đường ống nước
erreichbar,có thể liên lạc được
erreichbar,có mặt để tiếp cận
hinterlegen,gửi lại
hinterlegen,để lại
hinterlegen,ký gửi
Kellerabteil,ngăn/khoang hầm riêng
Kellergang,hành lang tầng hầm
Fluchtweg,lối thoát hiểm
zusammenfalten,gấp gọn
zusammenfalten,gập lại
Sperrmüllservice,dịch vụ thu gom rác cồng kềnh
Abholtermin,lịch hẹn lấy/thu gom
Stellenanzeige,tin tuyển dụng
Stellenanzeige,thông báo tuyển việc
Verstärkung,nhân sự bổ sung
Verstärkung,người hỗ trợ thêm
sich um eine Stelle bewerben,ứng tuyển vào một vị trí
die Apotheke,hiệu thuốc
Notdienst,trực khẩn cấp
Samstagabend,tối thứ Bảy
Sonntagmorgen,sáng Chủ nhật
geöffnet,mở cửa
das Wetter,thời tiết
die Kaltfront,đợt không khí lạnh
Temperaturabfall,sự giảm nhiệt độ
Regen und Wind,mưa và gió
bewölkt,có mây
sonnig,có nắng
die Ansage,thông báo
der Fahrplan,lịch trình tàu xe
Zugreisende,hành khách đi tàu
die Verbindung,tuyến / chuyến kết nối
das Fahrradabteil,khoang để xe đạp
der Passagier,hành khách
den Zug hinten betreten,lên tàu từ phía sau
die Mitte des Zuges,giữa toa tàu
die erste Klasse,hạng nhất
die Dokumentation,phim tài liệu
ausgestrahlt werden,được phát sóng
zu einem späteren Zeitpunkt,vào thời điểm muộn hơn
in dieser Woche,trong tuần này
gewinnen,trúng / giành được
das Erlebnisbad,khu bể bơi giải trí
die Tageskarte,vé ngày
der Eintritt,vé vào / quyền vào cửa
das Schwimmbad,hồ bơi
der Essensgutschein,phiếu ăn
der Getränkegutschein,phiếu đồ uống
der Hauptgewinn,giải thưởng chính
verlost werden,được đem ra quay số / trao thưởng
die Radiosendung,chương trình phát thanh
das Konzert,buổi hòa nhạc
beginnen,bắt đầu
das Handy,điện thoại di động
die Mutter,mẹ
die Dokumente,giấy tờ
bei sich haben,mang theo bên mình
die Kaffeemaschine,máy pha cà phê
kostenpflichtig,mất phí
stehen,được đặt ở
die Prüfung,kỳ thi
Schwierigkeiten haben,gặp khó khăn
der Drucker,máy in
sich etwas aussuchen,chọn một món gì
der Multifunktionsdrucker,máy in đa năng
im Preis enthalten,được bao gồm trong giá
die Wohnung,căn hộ
den Wohnsitz ummelden,đăng ký đổi nơi cư trú
die Tagesmutter,người giữ trẻ tại nhà
das Freizeitangebot,hoạt động giải trí
die Jugendreise,chuyến du lịch dành cho thanh thiếu niên
der Reisepass,hộ chiếu
regelmäßig arbeiten,làm việc thường xuyên
neben dem Studium,bên cạnh việc học
die Toilette ist verstopft,bồn cầu bị tắc
sofort Hilfe brauchen,cần giúp đỡ ngay
ein Baby erwarten,sắp sinh em bé
günstige Kinderkleidung,quần áo trẻ em giá rẻ
gebraucht,đã qua sử dụng
das Kinderbett,giường cũi trẻ em
dringend,khẩn cấp
die Provision,hoa hồng môi giới
der Makler,môi giới nhà đất
auf Kinder aufpassen,trông trẻ
gedacht für,dành cho
bei Interesse,nếu quan tâm
das kostenlose Konto,tài khoản miễn phí
veranstalten,tổ chức
das Sommerfest,lễ hội mùa hè
aufgenommen werden,được nhận vào
die Anmeldung,đăng ký
der Nachweis,giấy xác nhận / bằng chứng
die Masernimpfung,tiêm phòng sởi
